,Address,Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase
0,Ho Chi Minh,2019-01-01,1546275600,28.0,24.0,26.1,18.9,64.9,3.1,100.0,20.83,rain,35.6,21.1,2.7,1012.2,59.8,10.3,72.0,6.3,4.0,0.83
1,Ho Chi Minh,2019-01-02,1546362000,25.4,24.0,24.7,21.0,79.7,16.1,100.0,70.83,rain,47.2,16.2,11.1,1011.7,61.5,9.4,52.4,4.5,3.0,0.87
2,Ho Chi Minh,2019-01-03,1546448400,30.6,23.4,27.1,21.7,72.9,0.1,100.0,4.17,rain,59.8,23.1,64.1,1011.9,58.6,10.1,154.4,13.3,6.0,0.9
3,Ho Chi Minh,2019-01-04,1546534800,34.0,25.5,29.4,21.8,65.3,0.2,100.0,8.33,rain,56.2,29.5,95.3,1012.5,43.4,10.3,209.4,18.2,7.0,0.94
4,Ho Chi Minh,2019-01-05,1546621200,33.6,25.0,29.1,21.0,63.4,0.0,0.0,0.0,,30.6,25.5,109.2,1012.3,32.6,10.3,233.9,20.2,8.0,0.97
5,Ho Chi Minh,2019-01-06,1546707600,34.0,24.0,28.8,22.1,68.8,0.0,0.0,0.0,,46.4,19.6,99.6,1012.3,32.9,10.2,225.8,19.3,8.0,0.0
6,Ho Chi Minh,2019-01-07,1546794000,34.6,23.6,28.8,19.8,61.1,0.0,0.0,0.0,,25.6,15.8,95.0,1011.6,19.3,10.3,250.1,21.4,9.0,0.04
7,Ho Chi Minh,2019-01-08,1546880400,31.4,23.1,27.6,20.9,68.0,0.5,100.0,12.5,rain,23.4,17.7,110.1,1012.1,43.4,10.0,192.8,16.7,8.0,0.07
8,Ho Chi Minh,2019-01-09,1546966800,34.0,23.0,28.3,20.6,64.9,0.0,0.0,0.0,,22.3,15.8,114.6,1012.1,47.7,10.3,225.3,19.4,8.0,0.1
9,Ho Chi Minh,2019-01-10,1547053200,33.4,24.6,28.8,20.5,62.5,0.0,0.0,0.0,,31.3,20.1,100.3,1011.4,43.0,10.3,225.0,19.4,8.0,0.14
10,Ho Chi Minh,2019-01-11,1547139600,33.4,24.0,28.6,20.3,62.3,0.0,0.0,0.0,,21.6,14.4,90.7,1011.2,42.1,10.3,203.6,17.6,8.0,0.17
11,Ho Chi Minh,2019-01-12,1547226000,33.0,25.4,28.8,21.7,66.3,0.0,0.0,0.0,,18.0,13.3,111.5,1011.1,51.1,10.0,106.1,9.2,4.0,0.2
12,Ho Chi Minh,2019-01-13,1547312400,34.0,24.0,28.8,21.7,68.5,0.0,0.0,0.0,,21.2,12.6,102.0,1010.6,49.6,9.4,238.8,20.6,8.0,0.24
13,Ho Chi Minh,2019-01-14,1547398800,32.6,23.5,28.2,20.9,66.1,0.0,0.0,0.0,,19.8,14.1,240.4,1009.6,32.9,10.1,246.4,21.2,8.0,0.25
14,Ho Chi Minh,2019-01-15,1547485200,31.9,25.0,27.7,22.7,75.7,0.1,100.0,4.17,rain,22.3,15.1,202.3,1010.0,51.8,8.8,189.1,16.2,8.0,0.3
15,Ho Chi Minh,2019-01-16,1547571600,33.4,25.6,28.8,21.8,67.8,0.1,100.0,4.17,rain,31.7,13.4,102.0,1010.2,42.0,10.0,205.3,17.8,8.0,0.33
16,Ho Chi Minh,2019-01-17,1547658000,33.6,24.4,28.1,22.5,74.1,0.3,100.0,4.17,rain,39.2,14.4,81.9,1010.3,50.9,8.4,216.5,18.7,8.0,0.37
17,Ho Chi Minh,2019-01-18,1547744400,33.6,23.0,28.0,19.2,61.4,0.0,0.0,0.0,,26.3,16.2,70.4,1010.7,43.5,10.3,225.4,19.4,8.0,0.4
18,Ho Chi Minh,2019-01-19,1547830800,33.4,22.0,27.8,19.6,63.0,0.0,0.0,0.0,,28.4,14.4,134.3,1010.5,43.8,10.3,243.7,21.0,9.0,0.43
19,Ho Chi Minh,2019-01-20,1547917200,32.4,24.0,27.9,21.5,69.2,0.0,0.0,0.0,,31.3,16.6,139.4,1010.5,45.3,9.8,234.6,20.4,9.0,0.47
20,Ho Chi Minh,2019-01-21,1548003600,33.6,24.4,28.1,21.8,70.7,0.0,0.0,0.0,,29.5,16.6,25.6,1011.2,42.8,9.9,222.3,19.3,8.0,0.5
21,Ho Chi Minh,2019-01-22,1548090000,33.0,23.0,27.5,21.2,70.8,0.1,100.0,4.17,rain,27.7,15.5,109.9,1012.2,44.9,9.6,227.3,19.7,8.0,0.53
22,Ho Chi Minh,2019-01-23,1548176400,32.0,22.0,26.5,18.9,64.8,0.0,0.0,0.0,,34.2,17.6,72.8,1012.5,46.7,10.3,240.7,20.8,8.0,0.57
23,Ho Chi Minh,2019-01-24,1548262800,32.6,20.6,26.6,16.0,56.1,0.0,0.0,0.0,,30.2,14.8,132.6,1012.7,39.2,9.6,261.6,22.6,9.0,0.6
24,Ho Chi Minh,2019-01-25,1548349200,32.6,21.0,26.6,17.4,61.4,0.0,0.0,0.0,,25.2,13.4,25.7,1013.5,29.0,8.9,262.2,22.8,9.0,0.64
25,Ho Chi Minh,2019-01-26,1548435600,33.0,22.0,26.9,19.1,66.1,0.0,0.0,0.0,,24.8,13.0,36.0,1012.9,33.6,9.2,233.9,20.1,8.0,0.67
